"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1994 - Stemmeberettigede";"EV1994 - Afgivne stemmer";"EV1994 - Blanke stemmer";"EV1994 - Andre ugyldige stemmer";"EV1994 - Gyldige stemmer";"EV1994 - A. Socialdemokratiet";"EV1994 - B. Det Radikale Venstre";"EV1994 - C. Det Konservative Folkeparti";"EV1994 - D. Centrum-Demokraterne";"EV1994 - F. Socialistisk Folkeparti";"EV1994 - J. JuniBevægelsen";"EV1994 - N. Folkebevægelsen mod EF-Unionen";"EV1994 - Q. Kristeligt Folkeparti";"EV1994 - V. Venstre, Danmarks Liberale Parti";"EV1994 - Z. Fremskridtspartiet"
"101001";"101001";"13";"2";"1";"4306";"2632";"27";"8";"2597";"407";"177";"340";"25";"426";"612";"294";"17";"232";"67"
"101002";"101002";"15";"3";"1";"7007";"3772";"42";"21";"3709";"329";"371";"318";"54";"516";"938";"833";"22";"262";"66"
"101003";"101003";"14";"3";"1";"5141";"2375";"21";"15";"2339";"499";"121";"197";"21";"290";"519";"447";"20";"149";"76"
"101004";"101004";"1";"1";"1";"6685";"4002";"40";"11";"3951";"322";"338";"398";"47";"589";"907";"1031";"9";"264";"46"
"101005";"101005";"1";"1";"1";"3563";"1935";"21";"0";"1914";"249";"148";"212";"23";"256";"424";"344";"16";"188";"54"
"101006";"101006";"1";"1";"1";"11094";"5239";"62";"16";"5161";"784";"438";"653";"46";"642";"1110";"912";"22";"439";"115"
"101007";"101007";"8";"2";"1";"3117";"1553";"15";"14";"1524";"336";"95";"84";"8";"185";"398";"281";"7";"79";"51"
"101008";"101008";"1";"1";"1";"5347";"2787";"23";"9";"2755";"396";"237";"272";"24";"310";"639";"608";"13";"209";"47"
"101010";"101010";"2";"1";"1";"11703";"5621";"60";"27";"5534";"490";"560";"1028";"74";"674";"1012";"762";"18";"835";"81"
"101011";"101011";"16";"3";"1";"3192";"1775";"25";"3";"1747";"228";"141";"248";"14";"205";"367";"281";"13";"208";"42"
"101012";"101012";"4";"1";"1";"3952";"2414";"30";"11";"2373";"223";"277";"317";"22";"325";"535";"391";"26";"230";"27"
"101014";"101014";"4";"1";"1";"4820";"2701";"44";"19";"2638";"269";"236";"286";"21";"381";"653";"546";"13";"197";"36"
"101016";"101016";"4";"1";"1";"6316";"3418";"28";"11";"3379";"318";"256";"312";"28";"463";"890";"827";"11";"217";"57"
"101018";"101018";"7";"2";"1";"10787";"6436";"73";"22";"6341";"613";"743";"1097";"78";"867";"1146";"914";"47";"747";"89"
"101020";"101020";"7";"2";"1";"4658";"3003";"35";"3";"2965";"232";"373";"532";"35";"439";"512";"405";"15";"387";"35"
"101022";"101022";"2";"1";"1";"6795";"4033";"40";"8";"3985";"319";"396";"853";"58";"485";"685";"581";"21";"532";"55"
"101024";"101024";"2";"1";"1";"6532";"3737";"32";"15";"3690";"290";"336";"747";"52";"395";"709";"508";"16";"586";"51"
"101026";"101026";"5";"1";"1";"14097";"6661";"75";"18";"6568";"973";"481";"721";"44";"757";"1553";"1249";"44";"572";"174"
"101028";"101028";"5";"1";"1";"9440";"4402";"35";"16";"4351";"692";"300";"404";"35";"520";"1028";"921";"14";"344";"93"
"101030";"101030";"9";"2";"1";"12944";"7419";"74";"28";"7317";"722";"734";"1207";"90";"969";"1461";"1117";"60";"859";"98"
"101032";"101032";"10";"2";"1";"6815";"3744";"40";"23";"3681";"387";"380";"356";"37";"483";"948";"736";"22";"266";"66"
"101034";"101034";"10";"2";"1";"3206";"1601";"24";"5";"1572";"192";"127";"142";"11";"226";"403";"343";"8";"98";"22"
"101036";"101036";"11";"2";"1";"9862";"4949";"69";"21";"4859";"627";"413";"421";"36";"634";"1282";"946";"33";"367";"100"
"101038";"101038";"11";"2";"1";"5099";"2786";"33";"8";"2745";"367";"232";"259";"29";"375";"703";"540";"15";"162";"63"
"101040";"101040";"11";"2";"1";"9955";"4798";"59";"25";"4714";"842";"351";"456";"40";"486";"1054";"975";"25";"357";"128"
"101042";"101042";"15";"3";"1";"6903";"3614";"46";"20";"3548";"412";"301";"278";"26";"545";"963";"689";"13";"240";"81"
"101044";"101044";"15";"3";"1";"6092";"3287";"30";"16";"3241";"365";"289";"274";"36";"488";"778";"714";"17";"198";"82"
"101046";"101046";"16";"3";"1";"3077";"1585";"26";"15";"1544";"288";"151";"136";"11";"200";"306";"286";"7";"122";"37"
"101048";"101048";"16";"3";"1";"4850";"2500";"25";"15";"2460";"324";"186";"140";"20";"336";"637";"624";"15";"116";"62"
"101050";"101050";"16";"3";"1";"3959";"2023";"27";"15";"1981";"329";"178";"202";"22";"210";"467";"351";"15";"152";"55"
"101052";"101052";"12";"2";"1";"15207";"7283";"88";"53";"7142";"1331";"552";"743";"74";"729";"1420";"1471";"41";"551";"230"
"101054";"101054";"12";"2";"1";"4590";"2553";"35";"12";"2506";"359";"214";"367";"37";"340";"443";"422";"38";"235";"51"
"101056";"101056";"8";"2";"1";"4356";"2564";"14";"2";"2548";"400";"211";"295";"30";"328";"583";"472";"24";"152";"53"
"101058";"101058";"8";"2";"1";"6378";"3142";"26";"23";"3093";"631";"214";"355";"28";"349";"655";"545";"12";"214";"90"
"101060";"101060";"13";"2";"1";"5234";"2857";"31";"9";"2817";"374";"248";"416";"28";"270";"524";"574";"20";"290";"73"
"101062";"101062";"8";"2";"1";"8331";"4539";"53";"16";"4470";"729";"355";"506";"61";"546";"1043";"719";"26";"352";"133"
