"Valgsted Id";"KommuneNr";"Kreds Nr";"Storkreds Nr";"Landsdels Nr";"Valgsted navn";"Kommune navn";"Kreds navn";"Storkreds navn";"Landsdels navn";"Valgsted start";"Valgsted stop"
"101001";"101";"1";"1";"1";"Østerbro";"København";"1. Østerbro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101002";"101";"1";"1";"1";"Østerbro Nord";"København";"1. Østerbro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101003";"101";"1";"1";"1";"Østerbro Syd";"København";"1. Østerbro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101004";"101";"1";"1";"1";"Østerbro Øst";"København";"1. Østerbro";"Københavns Storkreds";"Hovedstaden";"20070101";"20121231"
"101005";"101";"1";"1";"1";"Østerbro Vest";"København";"1. Østerbro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101006";"101";"1";"1";"1";"Østerbro Nordvest";"København";"1. Østerbro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101007";"101";"2";"1";"1";"Sundbyvester";"København";"2. Sundbyvester";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101008";"101";"2";"1";"1";"Sundbyvester Nord";"København";"2. Sundbyvester";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101009";"101";"2";"1";"1";"Sundbyvester Syd";"København";"2. Sundbyvester";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101010";"101";"2";"1";"1";"Sundbyvester Vest";"København";"2. Sundbyvester";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101011";"101";"3";"1";"1";"Indre By";"København";"3. Indre By";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101012";"101";"3";"1";"1";"Indre By Nord";"København";"3. Indre By";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101013";"101";"3";"1";"1";"Indre By Syd";"København";"3. Indre By";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101014";"101";"3";"1";"1";"Indre By Øst";"København";"3. Indre By";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101015";"101";"3";"1";"1";"Indre By Vest";"København";"3. Indre By";"Københavns Storkreds";"Hovedstaden";"20070101";"20121231"
"101016";"101";"4";"1";"1";"Sundbyøster";"København";"4. Sundbyøster";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101017";"101";"4";"1";"1";"Sundbyøster Nord";"København";"4. Sundbyøster";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101018";"101";"4";"1";"1";"Sundbyøster Syd";"København";"4. Sundbyøster";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101019";"101";"4";"1";"1";"Sundbyøster Øst";"København";"4. Sundbyøster";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101020";"101";"5";"1";"1";"Nørrebro";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101021";"101";"5";"1";"1";"Nørrebro Nord";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101022";"101";"5";"1";"1";"Nørrebro Syd";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101023";"101";"5";"1";"1";"Nørrebro Øst";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101024";"101";"5";"1";"1";"Nørrebro Vest";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101025";"101";"5";"1";"1";"Nørrebro Nordvest";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101026";"101";"5";"1";"1";"Nørrebro Midt";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
"101027";"101";"6";"1";"1";"Utterslev";"København";"6. Utterslev";"Københavns Storkreds";"Hovedstaden";"20070101";"20150530"
